Account address,Show boosts
@AKOrgaBewertung@mastodon.social,true
@AlexanderBrand@troet.cafe,true
@AlexanderSchmidl@mastodon.social,true
@AlexMitterle@mastodon.social,true
@amateur_garde@mastodon.social,true
@ANosthoff@mastodon.social,true
@bekado@social.tchncs.de,true
@Bindestriche@social.anoxinon.de,true
@bjoernkrey@troet.cafe,true
@Blaabaek@mastodon.social,true
@chrishammermann@social.tchncs.de,true
@DiscourseNet@fediscience.org,true
@dustinstoltz@scholar.social,true
@dwaldecker@fediscience.org,true
@DWitte@mastodon.social,true
@empathroet@bildung.social,true
@florianeyert@mastodon.social,true
@fosrecki@mastodon.social,true
@fstengel@mastodon.social,true
@hcadenas@mastodon.social,true
@hendrikerz@scholar.social,true
@h_gerhardt@mastodon.social,true
@ingorohlfing@mastodon.social,true
@i_ngli@scholar.social,true
@JanaHeinz@muenchen.social,true
@janap@mastodon.social,true
@jelena3121@mastodon.social,true
@johsvogel@scholar.social,true
@JulianHamann1@mastodon.social,true
@julSEU@mastodon.social,true
@LarsAlberth@mastodon.social,true
@LordElend@fediscience.org,true
@matsommer@mastodon.social ,true
@mheil@bildung.social,true
@naomilawsonjacobs@fediscience.org,true
@Oliver_Wieczorek@mastodon.social,true
@onlytina@todon.eu,true
@pardoguerra@mastodon.social,true
@pengzell@mastodon.social,true
@perspektivbrocken@social.tchncs.de,true
@petka@mastodon.social,true
@philipncohen@mastodon.social,true
@ramyologist@mastodon.social,true
@reliablyjeff@mastodon.social,true
@RobertSeyfert@mastodon.social,true
@silviosuckow@mastodon.social,true
@simonlindgren@mastodon.social,true
@sluecking@mastodon.xyz,true
@sms2sms@ifwo.eu,true
@sowa@mastodon.social,true
@sozialwelten@ifwo.eu,true
@stefanlaser@social.tchncs.de,true
@theHaefler@troet.cafe,true
@thorsten_peetz@mastodon.social,true
@Vorinstanz@social.tchncs.de,true
@Weltenkreuzer@social.tchncs.de,true
@wolf_witte@ruhr.social,true
@ybaumy@mk.autonomy.earth,true
@zukunftsheld@mastodon.social,true
@annikabkr@mastodon.social,true
@klauspforr@mastodon.social,true
@thhaase@social.tchncs.de,true 
@karengregory@mastodon.social,true 
@arko23@mastodon.social,true 
@Blaabaek@mastodon.social,true
@dustinstoltz@scholar.social,true
@hcadenas@mastodon.social,true
@kjhealy@mastodon.social,true
@naomilawsonjacobs@fediscience.org,true
@pardoguerra@mastodon.social,true
@pengzell@mastodon.social,true
@philipncohen@mastodon.social,true
@reliablyjeff@mastodon.social,true
@simonlindgren@mastodon.social,true
@karengregory@mastodon.social,true 
