account,name,link,keywords,language
@alissonmasoares@fosstodon.org,Alisson Soares,https://fosstodon.org/@alissonmasoares,Computational_Social_Science Disinformation conspiracy_theories,pt en de es
@sluecking@digitalcourage.social,Stefan Lücking,https://digitalcourage.social/@sluecking,workplace_democracy digital_society industrial_relations,de en fr it es
@mczajko@mastodon.social,Mike Zajko,https://mastodon.social/@mczajko,STS Surveillance Governance,
@cyberlyra@hachyderm.io,Janet Vertesi,https://hachyderm.io/@cyberlyra,Technology Science Organizations,en us
@fursthenrik@mastodon.social,Henrik Fürst,https://mastodon.social/@fursthenrik,Culture Careers Education,en sv
@sbg_arch@urbanists.social,Sarah Gelbard,https://urbanists.social/@sbg_arch,community_planning spatial_justice feminist_geography,en fr
@ZTS_ZeitTheoSoz@mastodon.social,ZTS – Zeitschrift für theoretische Soziologie,https://mastodon.social/@ZTS_ZeitTheoSoz,Sociological_Theory,de en
@sanjay_digital@kolektiva.social,sanjay sharma,https://kolektiva.social/@sanjay_digital,decoloniality technology ethics,en
@conleyjr@h-net.social,Jim Conley,https://h-net.social/settings/profile,French_pragmatic_sociology urban_mobilities_(traffic) bicycles,en fr
@michamahler@mastodon.social,Michaela Mahler,https://mastodon.social/@michamahler,democracy social_inequality bulgaria,de
@SociologyMag@sciences.social,SociologyMag,https://sciences.social/@SociologyMag,education resource,en
@jonathanwyrtzen@mstdn.social ,Jonathan Wyrtzen,https://mstdn.social/@jonathanwyrtzen,Empire Middle_East Decolonization,en
@lloydsoc@sciences.social,Jonathan LLoyd,https://sciences.social/@lloydsoc,hategroups hatecrime criminology,en el
@zmunson@mastodon.world,Ziad Munson,https://mastodon.world/@zmunson,social_movements abortion_politics conservative_politics,en
@sssp_dd@sciences.social,SSSP Drugs and Drinking,https://sciences.social/@sssp_dd,Social_Problems Substance_Use,en
@asadrugsoc@sciences.social,ASA Drugs & Society Section,https://sciences.social/@asadrugsoc,drugs Society,en es
@metacramer@sciences.social,Meta Cramer,https://sciences.social/@metacramer,,
@OstenWahlbeck@sciences.social,Östen Wahlbeck,https://sciences.social/@OstenWahlbeck,migration refugees asylum_policy,
@jhodos@sciences.social,Jerome Hodos,https://sciences.social/@jhodos,urban_sociology globalization politics_&_planning,en es
@danaujoks@mastodon.world,Daniel Naujoks,https://mastodon.world/@danaujoks,migration refugees United_Nations,
@actasociologica@sciences.social,Acta Sociologica,https://sciences.social/@actasociologica,Scientific_journal General_interest,en
@datendetektivin@mk.absturztau.be,–,https://mk.absturztau.be/@datendetektivin,educational_inequality socio-spatial_segregation gender_diversity_in_employment_and_occupation,de en
@Ztschr_Prokla@sciences.social,PROKLA. Zeitschrift für kritische Sozialwissenschaft,https://social.tchncs.de/@Ztschr_Prokla@sciences.social,political_economy political_theory social_history,de
@Erin_eife@spore.social,Erin Eife,https://spore.social/@Erin_eife,sociology_of_punishment surveillance racial_justice,
@Julia_Soc@sciences.social,Julia Dessauer,https://sciences.social/@Julia_Soc,,
@gav@sciences.social,Giuseppe A. Veltri,https://sciences.social/@gav,cognitive_sociology computational_social_science research_methods,it en es fr
@MelB@sciences.social,Mel Bartley,https://https://sciences.social/settings/profile,,en
@vbashi@mindly.social,Vilna Bashi,https://mindly.social/@vbashi,,
@thrnsgdk@fosstodon.org,Tahir Enes Gedik,https://fosstodon.org/@thrnsgdk,,en tr
@brettcburkhardt@sciences.social,Brett Burkhardt,https://sciences.social/@brettcburkhardt,sociology_of_punishment political_sociology sociology_of_law,en
@braydenk@sciences.social,Brayden King,https://sciences.social/@braydenk,social_movements_and_organizations fan_of_niche_music_and_baseball,
@selcan@mastodon.social,Selcan Mutgan,https://mastodon.social/@selcan,,en tr sv
@CarinaCornesse@qoto.org,Carina Cornesse,https://qoto.org/@CarinaCornesse,Survey_research Quantitative_methods Digital_divide,en de
@Fern@sciences.social,Simon Fern,https://sciences.social/@Fern,Migration_Studies Population_Health Food_Security,en es
@shelia@mastodon.social,Shelia Cotten,https://mastodon.social/@Shelia,technology health aging,
@TomasCano@sciences.social,Tomás Cano,https://sciences.social/@TomasCano,Social_stratification Gender_inequalities,
@stephaniemedleyrath@mastodon.world,Stephanie Medley-Rath,https://mastodon.world/@stephaniemedleyrath,,
@GaiaGhirardi@sciences.social,Gaia Ghirardi,https://sciences.social/@GaiaGhirardi,,
@A_Hudde@sciences.social,Ansgar Hudde,https://sciences.social/@A_Hudde,Family_sociology Political_sociology Transportation_and_mobility,
@ralmeling@mastodon.social,Rene Almeling,https://mastodon.social/@ralmeling,gender medicine reproduction,en
@DisastersRadix@sciences.social,RADIX: Radical Interpretations of Disasters,https://sciences.social/@DisastersRadix,Disasters Radical_Interpretations Radical_Solutions,en
@bvhoutte@mastodon.online,Bram Vanhoutte,https://mastodon.online/@bvhoutte,Ageing Inequality Methods,fr nl en
@damiano_uccheddu@mastodon.social,Damiano Uccheddu,https://mastodon.social/@damiano_uccheddu,Health Social_stratification Intergenerational_relationships,en it
@talkinto@sciences.social,Marc Moelders,https://sciences.social/@talkinto,Differentiation_Theory Persuasion Sociology_of_Law,de en
